signal_time,return,diff,pnl
1753332900,4.06E-07,0.005082591,0.0000%
1753333200,-7.89E-07,0.000985097,0.0000%
1753333500,-8.37E-06,0.002865141,-0.0009%
1753333800,-9.37E-06,0.001397509,-0.0018%
1753334100,-3.19E-06,0.003822301,-0.0021%
1753334400,2.61E-07,0.003220353,-0.0021%
1753334700,-2.65E-06,0.002017408,-0.0024%
1753335000,5.08E-06,0.00248379,-0.0019%
1753335300,7.32E-06,0.004939861,-0.0011%
1753335600,2.89E-05,0.002794463,0.0018%
1753335900,-2.32E-05,0.003879944,-0.0006%
1753336200,-5.31E-06,0.003034868,-0.0011%
1753336500,2.87E-05,0.002670579,0.0018%
1753336800,-8.54E-06,0.00133351,0.0009%
1753337100,-1.79E-05,0.002163586,-0.0009%
1753337400,2.75E-05,0.003853893,0.0019%
1753337700,-5.07E-05,0.001362562,-0.0032%
1753338000,5.44E-05,0.005281748,0.0023%
1753338300,1.26E-05,0.001060484,0.0035%
1753338600,-7.90E-06,0.001538823,0.0027%
1753338900,-5.86E-05,0.003497983,-0.0031%
1753339200,-2.25E-06,0.001699207,-0.0033%
1753339500,6.53E-06,0.002195567,-0.0027%
1753339800,-5.38E-06,0.005048305,-0.0032%
1753340100,2.71E-06,0.002320731,-0.0030%
1753340400,-0.000107526,0.004964987,-0.0137%
1753340700,0.000135216,0.004984175,-0.0002%
1753341000,0.000174663,0.001807469,0.0173%
1753341300,3.09E-05,0.002945182,0.0204%
1753341600,-4.29E-05,0.002052153,0.0161%
1753341900,4.82E-05,0.001888953,0.0209%
1753342200,-2.23E-05,0.003543381,0.0187%
1753342500,7.45E-05,0.003563477,0.0261%
1753342800,5.74E-05,0.002478122,0.0318%
1753343100,-7.89E-06,0.000950003,0.0311%
1753343400,8.58E-05,0.001605429,0.0396%
1753343700,-2.40E-06,0.001775751,0.0394%
1753344000,4.00E-05,0.003485997,0.0434%
1753344300,0.000117776,0.00355813,0.0552%
1753344600,9.21E-05,0.002614372,0.0644%
1753344900,1.83E-06,0.002838728,0.0646%
1753345200,-4.52E-05,0.001244676,0.0601%
1753345500,2.42E-05,0.002359901,0.0625%
1753345800,-6.09E-06,0.001575219,0.0619%
1753346100,1.07E-05,0.003943405,0.0629%
1753346400,-7.79E-05,0.001095179,0.0551%
1753346700,8.69E-05,0.004582854,0.0638%
1753347000,-4.25E-05,0.002202118,0.0596%
1753347300,4.69E-05,0.001639132,0.0643%
1753347600,1.36E-05,0.001145363,0.0656%
1753347900,-5.04E-05,0.001695374,0.0606%
1753348200,1.27E-05,0.001333402,0.0619%
1753348500,-7.82E-05,0.002004483,0.0540%
1753348800,-3.85E-05,0.002215507,0.0502%
1753349100,6.56E-05,0.001645688,0.0568%
1753349400,-6.37E-05,0.001803448,0.0504%
1753349700,-4.64E-05,0.002396942,0.0457%
1753350000,4.38E-05,0.001459004,0.0501%
1753350300,-5.09E-05,0.003622401,0.0450%
1753350600,7.59E-05,0.00206887,0.0526%
1753350900,3.46E-05,0.001697819,0.0561%
1753351200,4.23E-05,0.00170515,0.0603%
1753351500,-0.000132204,0.001252185,0.0471%
1753351800,-2.07E-05,0.001745766,0.0450%
1753352100,-6.30E-05,0.002503279,0.0387%
1753352400,-7.16E-05,0.001261037,0.0316%
1753352700,-4.94E-05,0.002840759,0.0266%
1753353000,-4.65E-05,0.002990834,0.0220%
1753353300,4.41E-05,0.004489276,0.0264%
1753353600,2.51E-05,0.002275508,0.0289%
1753353900,0.000123176,0.00218093,0.0412%
1753354200,-2.03E-05,0.00156855,0.0392%
1753354500,-1.57E-05,0.004665404,0.0376%
1753354800,2.93E-06,0.001567826,0.0379%
1753355100,0.000102016,0.002176885,0.0481%
1753355400,0.000108556,0.002781345,0.0590%
1753355700,3.62E-05,0.001569854,0.0626%
1753356000,-6.08E-05,0.001390507,0.0565%
1753356300,-1.86E-05,0.001311161,0.0546%
1753356600,-8.08E-06,0.002658855,0.0538%
1753356900,-7.33E-05,0.001788911,0.0465%
1753357200,3.46E-05,0.00173852,0.0500%
1753357500,1.83E-05,0.002572456,0.0518%
