ADAUSDT,AGIXUSDT,ARBUSDT,AVAXUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,ETHUSDT,SOLUSDT,SUIUSDT,UNIUSDT,XRPUSDT
0.029767036,0.0854789,0.0865525,0.0981828,0.015787482,-0.046270907,0.03968048,-0.009920776,-0.028455734,0.012790918,0.004007459,-0.1403476
0.034522414,0.08581722,0.09064114,0.10097504,0.015630364,-0.05218613,0.038917065,-0.017920792,-0.033372402,0.012703061,0.003481627,-0.14715093
0.036773443,0.09223485,0.09395993,0.10255575,0.016529918,-0.050458074,0.043736696,-0.021055162,-0.036977172,0.016023755,-0.002478778,-0.14596915
0.037096143,0.09365618,0.08702171,0.09760153,0.008505583,-0.040660024,0.034415126,-0.017692447,-0.033240438,0.011113882,0.005543351,-0.1453613
0.036548615,0.09435332,0.084012866,0.09267223,0.007076621,-0.033922076,0.03409636,-0.012355804,-0.031094313,0.009896159,0.006856203,-0.13703287
0.04042566,0.094367266,0.088291764,0.0996145,0.012513876,-0.043762982,0.039525867,-0.015400946,-0.04602176,0.018625617,-0.002550125,-0.13857841
0.040851474,0.09385109,0.09442222,0.10078919,0.006705165,-0.03948438,0.03506708,-0.020074606,-0.03828913,0.011687279,-0.001217902,-0.14421606
0.04292357,0.0958724,0.09264362,0.10158658,0.003833652,-0.04396242,0.037629366,-0.015307128,-0.041704595,0.015192151,0.001482964,-0.14447331
0.035633564,0.09284556,0.091114044,0.10027027,0.008419871,-0.045684934,0.03590858,-0.022559702,-0.044089854,0.017749786,-0.004576504,-0.14251757
0.04121697,0.094554186,0.09032416,0.09764624,0.008704901,-0.042877793,0.0353595,-0.018690407,-0.04710555,0.01594448,-0.002364159,-0.13975126
0.04007888,0.09442127,0.09533727,0.09305596,0.008055925,-0.047020197,0.033363223,-0.015223742,-0.045392096,0.010808229,-0.003701389,-0.14048421
0.034179688,0.096426964,0.090726376,0.10420692,0.008885741,-0.04077822,0.036162376,-0.012861311,-0.04309559,0.013052464,-0.002283573,-0.14086777
0.037614465,0.09742594,0.08758688,0.09879792,0.003275871,-0.038558662,0.03439188,-0.012869597,-0.041682363,0.016678452,0.000243902,-0.13867515
0.03461671,0.09641206,0.08509898,0.09339309,0.000608087,-0.035999835,0.029245615,-0.015091479,-0.03290111,0.010699153,0.006743074,-0.14059848
0.038927436,0.101688504,0.08953893,0.099000454,0.002553821,-0.03841698,0.03142667,-0.015038431,-0.04400748,0.015616894,0.002574444,-0.14426994
0.036602736,0.09614587,0.097391844,0.09722364,-0.001523972,-0.041666746,0.03385997,-0.018139005,-0.04041791,0.009890318,-0.001484692,-0.13900721
0.038974285,0.09543979,0.09521353,0.098823905,0.009823084,-0.04328823,0.03574419,-0.015732348,-0.051081717,0.019677877,-0.006830931,-0.1411637
0.044158697,0.099255204,0.09642649,0.09700501,-0.002856672,-0.04057324,0.028537631,-0.02167362,-0.049220145,0.014687181,0.001167178,-0.14445251
0.043411136,0.1018002,0.098142385,0.09919369,0.00737977,-0.048043966,0.038986325,-0.015382171,-0.04994583,0.018308997,-0.008638859,-0.14325202
0.040047884,0.09146178,0.09169543,0.096662045,0.009035945,-0.04558462,0.033581734,-0.018743157,-0.040404916,0.013584375,-0.002217114,-0.13850135
0.0377661,0.09516084,0.09007084,0.0978024,0.00036633,-0.042277694,0.033710003,-0.01449877,-0.041246653,0.01411581,-0.005948067,-0.13490754
0.04066181,0.09206009,0.08710754,0.09919214,-7.46E-05,-0.037908435,0.035654426,-0.011722326,-0.03578317,0.013218403,0.001205564,-0.14059705
0.038805127,0.093812704,0.089960456,0.09637141,-0.001604497,-0.040644348,0.027060747,-0.017005205,-0.03807473,0.013543129,0.007364988,-0.13753843
0.040507197,0.09714997,0.08454645,0.09817338,0.000883222,-0.03912759,0.02997899,-0.017374635,-0.03382212,0.011863112,0.011850953,-0.14208442
0.035715222,0.09518719,0.08991587,0.095261455,-0.003137887,-0.04117173,0.025985837,-0.019636154,-0.04422939,0.015085816,0.004669905,-0.1411596
0.039444923,0.09921336,0.09298587,0.09922218,-0.000569642,-0.04782045,0.032832265,-0.017635286,-0.04256493,0.017062068,0.001430273,-0.14022917
0.037626743,0.099475265,0.091226816,0.0922277,0.00654614,-0.043576002,0.031411886,-0.01884085,-0.03750539,0.015013814,0.005203605,-0.14203852
0.043802857,0.104970336,0.09747541,0.09098649,0.004276395,-0.052500725,0.033678055,-0.021174908,-0.0409714,0.017792583,0.00530839,-0.14029461
